contig_1_pilon	CP094298.1	99.994	1846853	40	28	4136479	5983296	5297451	7144259	0.0	3.410e+06
contig_1_pilon	CP094298.1	99.996	1390076	31	16	1043847	2433916	2107665	3497726	0.0	2.567e+06
contig_1_pilon	CP094298.1	99.996	969510	13	7	5983267	6952775	7144262	8113750	0.0	1.790e+06
contig_1_pilon	CP094298.1	99.993	840813	19	26	2516681	3357478	3624487	4465273	0.0	1.552e+06
contig_1_pilon	CP094298.1	99.994	699181	31	9	344669	1043848	8812924	8113752	0.0	1.291e+06
contig_1_pilon	CP094298.1	99.997	355812	11	0	3780669	4136480	4918138	5273949	0.0	6.570e+05
contig_1_pilon	CP094298.1	99.976	345486	73	10	1	345478	528508	873991	0.0	6.375e+05
contig_1_pilon	CP094298.1	99.995	306599	7	7	3474076	3780673	4604847	4911439	0.0	5.661e+05
contig_1_pilon	CP094298.1	99.995	116676	3	2	3357421	3474096	4488159	4604831	0.0	2.154e+05
contig_1_pilon	CP094298.1	99.998	82771	2	0	2433913	2516683	3503184	3585954	0.0	1.528e+05
contig_1_pilon	CP094298.1	100.000	43282	0	0	6952775	6996056	2107667	2064386	0.0	79927
contig_1_pilon	CP094298.1	100.000	6699	0	0	4954045	4960743	4911440	4918138	0.0	12371
contig_1_pilon	CP094298.1	99.538	5628	13	5	4599684	4605305	5007751	5013371	0.0	10237
contig_1_pilon	CP094298.1	99.538	5628	13	5	3870282	3875902	5760675	5766296	0.0	10237
contig_1_pilon	CP094298.1	97.797	5947	98	24	3870028	3875958	4017687	4011758	0.0	10226
contig_1_pilon	CP094298.1	97.845	5939	93	26	2903959	2909879	5013418	5007497	0.0	10226
contig_1_pilon	CP094298.1	97.756	5749	107	19	4599625	4605360	2586136	2580397	0.0	9882
contig_1_pilon	CP094298.1	97.789	5744	103	20	1516583	1522316	5766345	5760616	0.0	9882
contig_1_pilon	CP094298.1	98.120	5639	79	21	4599684	4605309	4017434	4011810	0.0	9801
contig_1_pilon	CP094298.1	98.137	5636	78	21	2904005	2909626	5766297	5760675	0.0	9801
contig_1_pilon	CP094298.1	92.553	6848	471	37	322507	329335	607930	614757	0.0	9784
contig_1_pilon	CP094298.1	92.553	6848	471	37	79419	86246	851019	857847	0.0	9784
contig_1_pilon	CP094298.1	98.130	5615	80	18	3870298	3875902	2586051	2580452	0.0	9764
contig_1_pilon	CP094298.1	98.114	5619	79	19	1516632	1522234	5013371	5007764	0.0	9764
contig_1_pilon	CP094298.1	98.867	5474	45	15	1022341	1027807	5013423	5007960	0.0	9749
contig_1_pilon	CP094298.1	99.114	5418	42	5	1022389	1027804	2580448	2585861	0.0	9734
